restaurant_id,class
251,Pizza
252,Japanese
252,Peruvian
252,Bar
252,French
253,Asian
253,Thai
253,Vegetarian Friendly
254,Indian
254,Vegetarian Friendly
254,Vegan Options
255,Chinese
280,Steakhouse
295,Pub
297,Chinese
298,American
302,Asian
303,Pizza
312,Chinese
314,Indian
319,Contemporary
347,American
348,American
352,Steakhouse
358,Thai
365,Mexican
367,Mexican
369,Indian
381,Barbecue
385,Mediterranean
388,Bar
406,Mexican
410,Pizza
414,Mexican
416,Chinese
420,Grill
422,American
423,Mexican
430,Chinese
438,Mexican
439,Pub
441,Cafe
442,Chinese
443,Bar
444,Pub
448,Cafe
453,American
465,Seafood
473,Chinese
480,Indian
484,Pizza
486,Pizza
487,Chinese
490,Mexican
493,American
503,Mexican
509,Deli
511,Chinese
514,Mexican
516,Mexican
520,Chinese
529,American
531,Thai
536,American
538,Vietnamese
540,American
549,American
552,Seafood
573,Chinese
597,Southwestern
606,American
609,Mediterranean
621,Italian
622,Cafe
623,Chinese
625,American
630,American
632,Cafe
642,Chinese
646,American
648,Barbecue
653,Pizza
664,Asian
665,Barbecue
666,Cafe
667,European
681,Mexican
685,Chinese
688,Pizza
689,Chinese
690,Pizza
695,American
698,Bar
710,Middle Eastern
712,Chinese
718,Spanish
723,Greek
727,Chinese
728,Chinese
738,Chinese
740,Chinese
752,Mexican
756,Pub
758,Asian
763,Italian
768,Pub
769,Greek
771,Mexican
773,Cafe
789,Seafood
797,Mexican
798,Pizza
801,Fast Food
822,Cafe
823,Sushi
824,Pizza
845,Mexican
848,Fast Food
850,Pizza
852,Greek
856,Mexican
857,Italian
858,Japanese
862,Chinese
863,Italian
864,Italian
872,Chinese
874,Irish
879,Indian
883,Steakhouse
886,Pub
903,Mexican
906,Italian
908,Fast Food
909,American
910,Mexican
912,American
913,Seafood
915,Greek
923,American
926,Thai
942,Pizza
947,American
957,American
960,Pizza
966,Mexican
969,Mexican
973,Mediterranean
981,Italian
990,Fast Food
1000,Steakhouse
1002,Sushi
1004,American
1008,Mexican
1012,American
1013,Mediterranean
1014,American
1016,Mexican
1017,American
1025,Mexican
1031,Deli
1042,Pizza
1051,Mexican
1055,Seafood
1064,Mexican
1066,American
1067,Thai
1068,Healthy
1073,Greek
1081,Greek
1096,American
1097,Mexican
1100,Chinese
1103,Asian
1109,Pizza
